Date,Name,Year,Letterboxd URI
2025-10-30,Muv-Luv Alternative: Total Eclipse,2012,https://boxd.it/xRrY
2025-10-30,Armored Trooper VOTOMS,1983,https://boxd.it/rMiA
2025-10-30,Genocidal Organ,2017,https://boxd.it/c6kk
2025-10-30,Hellboy,2004,https://boxd.it/28HK
2025-10-30,American Psycho,2000,https://boxd.it/28Vs
2025-10-30,The Godfather,1972,https://boxd.it/2aNK
2025-10-30,Black Phone 2,2025,https://boxd.it/JpbW
2025-10-30,GoodFellas,1990,https://boxd.it/29FA
2025-11-07,Critters,1986,https://boxd.it/24Sk
2025-11-13,Overlord,2018,https://boxd.it/fAwm
2025-11-13,Afflicted,2013,https://boxd.it/6ipY
2025-11-13,The Sadness,2021,https://boxd.it/tcHe
2025-11-13,No One Lives,2012,https://boxd.it/43K4
2025-11-13,May the Devil Take You,2018,https://boxd.it/j3Ha
